Path;File;Type;Filter;Score;dX;dY;Angle;Date/Time;Size;CFA;Depth;Info;ISO/Gain;Exposure;Aperture;FWHM;#Stars;Sky Background
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6473.JPG;Light;;20996.96;73.54;-82.66;0.13°;11/02/2021 22:13;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.06;3074;58.99 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6544.JPG;Light;;20932.25;100.69;-33.81;0.23°;11/02/2021 22:38;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.41;3142;58.01 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6600.JPG;Light;;25333.86;136.93;21.64;0.29°;11/02/2021 22:59;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.07;3668;57.23 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6558.JPG;Light;;24523.84;98.32;-25.64;0.24°;11/02/2021 22:43;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.02;3536;57.42 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6554.JPG;Light;;24342.04;95.60;-29.04;0.24°;11/02/2021 22:41;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.07;3492;57.81 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6487.JPG;Light;;20186.06;71.95;-74.96;0.14°;11/02/2021 22:18;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.28;3297;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6446.JPG;Light;;31575.33;59.18;-101.06;0.09°;11/02/2021 22:03;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.70;4316;59.96 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6546.JPG;Light;;21029.85;92.50;-35.13;0.22°;11/02/2021 22:39;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.29;3300;57.81 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6486.JPG;Light;;28968.59;76.43;-74.34;0.15°;11/02/2021 22:17;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.85;4047;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6590.JPG;Light;;20246.14;141.02;16.00;0.29°;11/02/2021 22:56;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.47;3191;57.42 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6525.JPG;Light;;23786.28;82.15;-50.20;0.20°;11/02/2021 22:31;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.99;3390;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6447.JPG;Light;;21578.35;61.33;-101.36;0.10°;11/02/2021 22:03;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.14;3382;59.77 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6445.JPG;Light;;20941.35;64.59;-99.36;0.08°;11/02/2021 22:03;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.12;3269;60.35 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6412.JPG;Light;;30051.77;7.46;-0.08;-0.02°;11/02/2021 21:49;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.88;4169;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6480.JPG;Light;;24601.52;68.26;-80.66;0.13°;11/02/2021 22:15;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.99;3626;58.60 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6536.JPG;Light;;22945.85;95.76;-39.87;0.21°;11/02/2021 22:35;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.25;3413;57.81 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6577.JPG;Light;;27052.21;119.60;-8.96;0.26°;11/02/2021 22:50;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.99;3824;57.42 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6621.JPG;Light;;26880.45;149.15;39.17;0.32°;11/02/2021 23:07;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.02;3825;56.84 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6646.JPG;Light;;26498.07;169.11;60.86;0.35°;11/02/2021 23:16;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.98;3757;53.71 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6467.JPG;Light;;31182.90;63.55;-89.00;0.12°;11/02/2021 22:10;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.71;4273;59.18 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6416.JPG;Light;;31833.36;8.19;1.54;-0.01°;11/02/2021 21:51;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.85;4371;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6523.JPG;Light;;26451.53;91.65;-49.54;0.20°;11/02/2021 22:30;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.97;3707;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6457.JPG;Light;;27001.69;68.90;-92.01;0.11°;11/02/2021 22:07;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.6 s ;0.0;4.00;3761;59.57 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6521.JPG;Light;;26264.86;81.35;-54.35;0.20°;11/02/2021 22:30;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.94;3703;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6625.JPG;Light;;25942.73;151.39;41.93;0.32°;11/02/2021 23:08;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.03;3691;54.30 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6478.JPG;Light;;27703.05;73.90;-79.09;0.14°;11/02/2021 22:14;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.89;3923;58.79 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6406.JPG;Light;;30034.43;-2.29;-5.38;-0.02°;11/02/2021 21:47;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.82;4103;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6573.JPG;Light;;25291.68;117.34;-11.79;0.25°;11/02/2021 22:48;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.14;3600;57.62 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6414.JPG;Light;;31238.77;-0.59;-2.48;-0.00°;11/02/2021 21:50;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.83;4294;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6503.JPG;Light;;22598.77;80.69;-63.26;0.16°;11/02/2021 22:23;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.15;3437;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6452.JPG;Light;;25901.42;67.21;-96.15;0.10°;11/02/2021 22:05;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.73;3646;59.96 %
